x-axis,1,3;;x-axis;1.00000;3.00000
second,Volt,Volt;;second;Volt;Volt
-250.6000E-03,+3.3271358E+00,-69.3465E-03;;-0.25060;3.32714;-0.06935
-250.5000E-03,+3.3271358E+00,-69.3465E-03;;-0.25050;3.32714;-0.06935
-250.4000E-03,+3.3271358E+00,+51.2565E-03;;-0.25040;3.32714;0.05126
-250.3000E-03,+3.2869348E+00,+91.4575E-03;;-0.25030;3.28693;0.09146
-250.2000E-03,+3.2467338E+00,+91.4575E-03;;-0.25020;3.24673;0.09146
-250.1000E-03,+3.2467338E+00,+51.2565E-03;;-0.25010;3.24673;0.05126
-250.0000E-03,+3.2869348E+00,-29.1455E-03;;-0.25000;3.28693;-0.02915
-249.9000E-03,+3.2869348E+00,-29.1455E-03;;-0.24990;3.28693;-0.02915
-249.8000E-03,+3.2467338E+00,+11.0555E-03;;-0.24980;3.24673;0.01106
-249.7000E-03,+3.2869348E+00,+51.2565E-03;;-0.24970;3.28693;0.05126
